STATIC_ECC_A,DYNAMIC_ECC,X,Y,L1,L2,U1,U2,TORQUE_RIPPLE,CURRENT_SPECTRUM,L1_U1_RATIO
0.0,0.2,47.7,47.5,-71.473,-57.8902,-35.2757,-72.2061,0.6,4.344,2.026125633
0.005,0.1,47.7,47.6,-61.723,-62.571,-63.169,-40.8005,0.32,4.155,0.977109025
0.01,0.1,47.7,47.6,-56.005,-62.444,-58.147,-40.797,0.33,4.155,0.96316233
0.015,0.1,47.7,47.6,-52.586,-62.319,-54.976,-40.794,0.34,4.155,0.9565264843
0.02,0.1,47.7,47.6,-50.139,-62.195,-52.655,-40.792,0.35,4.155,0.9522172633
0.025,0.1,47.7,47.6,-48.232,-62.074,-50.825,-40.789,0.36,4.155,0.9489818003
0.03,0.1,47.7,47.6,-46.669,-61.954,-49.314,-40.786,0.37,4.155,0.9463641157
0.035,0.1,47.7,47.6,-45.344,-61.896,-48.027,-40.783,0.38,4.16,0.9441355904
0.04,0.1,47.7,47.6,-44.196,-61.719,-46.906,-40.781,0.39,4.16,0.9422248753
0.045,0.1,47.7,47.6,-43.181,-61.604,-45.913,-40.778,0.4,4.16,0.9404961558
0.05,0.1,47.7,47.6,-42.2733,-61.491,-45.022,-40.775,0.42,4.16,0.9389476256
0.055,0.1,47.7,47.6,-41.451,-61.379,-44.214,-40.772,0.43,4.16,0.9375084815
0.06,0.1,47.7,47.6,-40.699,-61.2686,-43.475,-40.769,0.44,4.165,0.936147211
0.065,0.1,47.7,47.6,-40.008,-61.159,-42.741,-40.766,0.45,4.165,0.9360567137
0.07,0.1,47.7,47.6,-39.3681,-61.051,-42.162,-40.764,0.46,4.167,0.9337341682
0.075,0.1,47.7,47.6,-38.771,-60.945,-41.573,-40.761,0.47,4.169,0.9326004859
0.08,0.1,47.7,47.6,-38.2136,-60.84,-41.0219,-40.758,0.49,4.171,0.9315414449
0.085,0.1,47.7,47.6,-37.689,-60.737,-40.5033,-40.755,0.5,4.173,0.9305167727
0.09,0.1,47.7,47.6,-37.194,-60.634,-40.013,-40.7526,0.51,4.175,0.9295478969
0.095,0.1,47.7,47.6,-36.726,-60.533,-39.55,-40.749,0.52,4.178,0.928596713
0.1,0.1,47.7,47.6,-36.282,-60.434,-39.11,-40.746,0.53,4.181,0.9276911276
0.105,0.1,47.7,47.6,-35.86,-60.335,-38.692,-40.744,0.55,4.183,0.926806575
0.11,0.1,47.7,47.6,-35.457,-60.237,-38.292,-40.741,0.56,4.186,0.9259636478
0.115,0.1,47.7,47.6,-35.072,-60.141,-37.91,-40.738,0.57,4.189,0.9251384859
0.12,0.1,47.7,47.6,-34.703,-60.046,-37.544,-40.735,0.58,4.192,0.9243287876
0.125,0.1,47.7,47.6,-34.3499,-59.952,-37.183,-40.732,0.6,4.195,0.9238065783
0.13,0.1,47.7,47.6,-34.01,-59.859,-36.856,-40.729,0.61,4.198,0.9227805513
0.135,0.1,47.7,47.6,-33.683,-59.767,-36.531,-40.726,0.62,4.201,0.9220388163
0.14,0.1,47.7,47.6,-33.367,-59.676,-36.218,-40.723,0.63,4.205,0.9212822354
0.145,0.1,47.7,47.6,-33.063,-59.586,-35.916,-40.72,0.65,4.209,0.9205646509
0.15,0.1,47.7,47.6,-32.769,-59.497,-35.624,-40.717,0.66,4.212,0.9198573995
0.155,0.1,47.7,47.6,-32.4853,-59.4099,-35.341,-40.714,0.67,4.216,0.9191958349
0.16,0.1,47.7,47.6,-32.21,-59.3229,-35.067,-40.711,0.68,4.22,0.9185273904
0.165,0.1,47.7,47.6,-31.94,-59.236,-34.802,-40.708,0.7,4.223,0.9177633469
0.17,0.1,47.7,47.6,-31.684,-59.151,-34.544,-40.705,0.71,4.227,0.9172070403
0.175,0.1,47.7,47.6,-31.432,-59.067,-34.294,-40.702,0.72,4.232,0.9165451683
0.18,0.1,47.7,47.6,-31.1884,-58.984,-34.051,-40.699,0.74,4.236,0.9159319844
0.185,0.1,47.7,47.6,-30.95,-58.902,-33.815,-40.696,0.75,4.24,0.9152742866
0.19,0.1,47.7,47.6,-30.719,-58.82,-33.585,-40.693,0.76,4.245,0.9146642847
0.195,0.1,47.7,47.6,-30.493,-58.739,-33.3607,-40.69,0.78,4.249,0.9140395735
0.2,0.1,47.7,47.6,-30.274,-58.659,-33.142,-40.687,0.79,4.254,0.9134632792
0.205,0.1,47.7,47.6,-30.059,-58.58,-32.926,-40.684,0.8,4.258,0.9129259552
0.21,0.1,47.7,47.6,-29.851,-58.502,-32.72,-40.681,0.81,4.263,0.9123166259
0.215,0.1,47.7,47.6,-29.646,-58.425,-32.517,-40.678,0.83,4.268,0.9117077221
0.22,0.1,47.7,47.6,-29.447,-58.3484,-32.318,-40.675,0.84,4.273,0.9111640572
0.225,0.1,47.7,47.6,-29.251,-58.272,-32.124,-40.672,0.86,4.278,0.9105653094
0.23,0.1,47.7,47.6,-29.0611,-58.197,-31.934,-40.669,0.87,4.283,0.9100363249
0.235,0.1,47.7,47.6,-28.874,-58.129,-31.748,-40.666,0.88,4.288,0.9094746126
0.24,0.1,47.7,47.6,-28.691,-58.049,-31.566,-40.663,0.9,4.293,0.9089209909
0.245,0.1,47.7,47.6,-28.5126,-57.976,-31.387,-40.659,0.91,4.298,0.9084206837
0.25,0.1,47.7,47.6,-28.337,-57.903,-31.213,-40.656,0.92,4.304,0.9078589049
0.005,0.2,47.7,47.5,-61.0418,-57.6986,-61.2734,-35.2745,0.61,4.345,0.9962202195
0.01,0.2,47.7,47.5,-55.7724,-57.639,-57.1506,-35.2732,0.63,4.345,0.9758847676
0.015,0.2,47.7,47.5,-52.5157,-57.5799,-54.3488,-35.2719,0.64,4.346,0.9662715644
0.02,0.2,47.7,47.5,-50.1524,-57.5212,-52.2289,-35.2707,0.65,4.346,0.960242318
0.025,0.2,47.7,47.5,-48.2965,-57.463,-50.5244,-35.2694,0.66,4.346,0.9559044739
0.03,0.2,47.7,47.5,-46.7681,-57.4052,-49.0992,-35.2681,0.67,4.347,0.952522648
0.035,0.2,47.7,47.5,-45.4688,-57.3479,-47.8748,-35.2668,0.68,4.347,0.9497439154
0.04,0.2,47.7,47.5,-44.3387,-57.291,-46.8015,-35.2655,0.69,4.348,0.947377755
0.045,0.2,47.7,47.5,-43.3389,-57.2346,-45.8462,-35.2642,0.7,4.349,0.9453106255
0.05,0.2,47.7,47.5,-42.4423,-57.1785,-44.9856,-35.263,0.71,4.35,0.9434641307
0.055,0.2,47.7,47.5,-41.6296,-57.1229,-44.2024,-35.2617,0.72,4.351,0.9417950157
0.06,0.2,47.7,47.5,-40.8865,-57.0678,-43.484,-35.2604,0.73,4.353,0.940265385
0.065,0.2,47.7,47.5,-40.202,-57.013,-42.8205,-35.2591,0.74,4.354,0.9388493829
0.07,0.2,47.7,47.5,-39.5675,-56.9587,-42.204,-35.2577,0.76,4.355,0.937529618
0.075,0.2,47.7,47.5,-38.9761,-56.9048,-41.6284,-35.2564,0.77,4.356,0.9362862853
0.08,0.2,47.7,47.5,-38.4225,-56.8512,-41.0885,-35.2551,0.78,4.357,0.935115665
0.085,0.2,47.7,47.5,-37.902,-56.7981,-40.5802,-35.2538,0.79,4.359,0.9340022967
0.09,0.2,47.7,47.5,-37.4109,-56.7454,-40.1,-35.2525,0.8,4.36,0.9329401496
0.095,0.2,47.7,47.5,-36.9461,-56.6931,-39.6449,-35.2511,0.81,4.362,0.9319256701
0.1,0.2,47.7,47.5,-36.5049,-56.6412,-39.2125,-35.2498,0.82,4.363,0.9309505897
0.105,0.2,47.7,47.5,-36.085,-56.5896,-38.8005,-35.2485,0.83,4.365,0.9300137885
0.11,0.2,47.7,47.5,-35.6844,-56.5385,-38.4072,-35.2471,0.85,4.366,0.9291070424
0.115,0.2,47.7,47.5,-35.301,-56.4877,-38.031,-35.2458,0.86,4.368,0.928216455
0.12,0.2,47.7,47.5,-34.9348,-56.4373,-37.6703,-35.2444,0.87,4.369,0.9273831108
0.125,0.2,47.7,47.5,-34.5829,-56.3873,-37.324,-35.2431,0.88,4.371,0.9265593184
0.13,0.2,47.7,47.5,-34.2447,-56.3377,-36.9909,-35.2417,0.89,4.372,0.9257601194
0.135,0.2,47.7,47.5,-33.9192,-56.2885,-36.6702,-35.2404,0.9,4.374,0.9249799565
0.14,0.2,47.7,47.5,-33.6054,-56.2396,-36.3609,-35.239,0.92,4.376,0.9242180474
0.145,0.2,47.7,47.5,-33.3025,-56.191,-36.0622,-35.2376,0.93,4.379,0.9234738868
0.15,0.2,47.7,47.5,-33.0098,-56.1429,-35.7734,-35.2362,0.94,4.381,0.9227470691
0.155,0.2,47.7,47.5,-32.7267,-56.0951,-35.4939,-35.2349,0.95,4.384,0.9220373078
0.16,0.2,47.7,47.5,-32.4524,-56.0476,-35.2231,-35.2335,0.96,4.386,0.9213385534
0.165,0.2,47.7,47.5,-32.1966,-56.0006,-34.9604,-35.2321,0.97,4.388,0.9209448404
0.17,0.2,47.7,47.5,-31.9286,-55.9538,-34.7055,-35.2307,0.99,4.391,0.9199867456
0.175,0.2,47.7,47.5,-31.6781,-55.9074,-34.4578,-35.2293,1.0,4.393,0.9193303113
0.18,0.2,47.7,47.5,-31.4346,-55.8614,-34.217,-35.2279,1.01,4.396,0.9186836952
0.185,0.2,47.7,47.5,-31.1977,-55.8157,-33.9827,-35.2265,1.02,4.398,0.9180465354
0.19,0.2,47.7,47.5,-30.9671,-55.7704,-33.7545,-35.2251,1.03,4.401,0.9174213809
0.195,0.2,47.7,47.5,-30.7424,-55.7253,-33.5322,-35.2237,1.05,4.404,0.9168023571
0.2,0.2,47.7,47.5,-30.5234,-55.6807,-33.2154,-35.2222,1.06,4.406,0.9189532566
0.205,0.2,47.7,47.5,-30.3098,-55.6363,-33.1039,-35.2208,1.07,4.409,0.9155960476
0.21,0.2,47.7,47.5,-30.1013,-55.5923,-32.8974,-35.2194,1.08,4.411,0.9150054412
0.215,0.2,47.7,47.5,-29.8977,-55.5486,-32.6957,-35.2171,1.09,4.414,0.9144229975
0.22,0.2,47.7,47.5,-29.6987,-55.5053,-32.4984,-35.2165,1.11,4.417,0.9138511434
0.225,0.2,47.7,47.5,-29.5042,-55.4623,-32.3057,-35.215,1.12,4.421,0.9132815571
0.23,0.2,47.7,47.5,-29.3139,-55.4195,-32.1171,-35.2136,1.13,4.424,0.9127193925
0.235,0.2,47.7,47.5,-29.1277,-55.3772,-31.9325,-35.2121,1.14,4.427,0.9121647225
0.24,0.2,47.7,47.5,-28.9454,-55.3351,-31.7518,-35.2107,1.16,4.431,0.9116144597
0.245,0.2,47.7,47.5,-28.7668,-55.2934,-31.5747,-35.2092,1.17,4.434,0.9110712057
0.25,0.2,47.7,47.5,-28.5918,-55.2519,-31.4011,-35.2077,1.18,4.438,0.9105349813
