STATIC_ECC_A,DYNAMIC_ECC,X,Y,L1,L2,U1,U2,TORQUE_RIPPLE,CURRENT_SPECTRUM,L1_U1_RATIO,L_diff,U_diff,L_ratio,U_ratio,Power_like,Combined_spectrum
0.0,0.2,47.7,47.5,-71.473,-57.8902,-35.2757,-72.2061,0.6,4.344,2.026125633,-13.582799999999999,36.930400000000006,1.2346304078173922,0.4885418335645026,2521.2601061,2.6064000000000003
0.005,0.1,47.7,47.6,-61.723,-62.571,-63.169,-40.8005,0.32,4.155,0.977109025,0.847999999999999,-22.368499999999997,0.9864474115236677,1.5482408683285955,3898.9801869999997,1.3296000000000001
0.01,0.1,47.7,47.6,-56.005,-62.444,-58.147,-40.797,0.33,4.155,0.96316233,6.439,-17.35,0.8968836220755176,1.4252764032962326,3256.522735,1.37115
0.015,0.1,47.7,47.6,-52.586,-62.319,-54.976,-40.794,0.34,4.155,0.9565264843,9.733000000000004,-14.182000000000002,0.8438197153969048,1.3476491971282345,2890.967936,1.4127000000000003
0.02,0.1,47.7,47.6,-50.139,-62.195,-52.655,-40.792,0.35,4.155,0.9522172633,12.055999999999997,-11.863,0.8061580642520791,1.2908168584726627,2640.069045,1.45425
0.025,0.1,47.7,47.6,-48.232,-62.074,-50.825,-40.789,0.36,4.155,0.9489818003,13.841999999999999,-10.036000000000001,0.7770080996392709,1.2460467588331843,2451.3914,1.4958
0.03,0.1,47.7,47.6,-46.669,-61.954,-49.314,-40.786,0.37,4.155,0.9463641157,15.285000000000004,-8.527999999999999,0.7532847072551361,1.2090913845214382,2301.435066,1.53735
0.035,0.1,47.7,47.6,-45.344,-61.896,-48.027,-40.783,0.38,4.16,0.9441355904,16.552,-7.244,0.732583700603976,1.1776230580786862,2177.736288,1.5808
0.04,0.1,47.7,47.6,-44.196,-61.719,-46.906,-40.781,0.39,4.16,0.9422248753,17.523000000000003,-6.125,0.7160841996157454,1.1501925198056084,2073.0575759999997,1.6224
0.045,0.1,47.7,47.6,-43.181,-61.604,-45.913,-40.778,0.4,4.16,0.9404961558,18.423000000000002,-5.134999999999998,0.7009447552260365,1.1259257718849813,1982.5692529999997,1.6640000000000001
0.05,0.1,47.7,47.6,-42.2733,-61.491,-45.022,-40.775,0.42,4.16,0.9389476256,19.2177,-4.247,0.6874713484489006,1.1041569860001712,1903.2285126,1.7472
0.055,0.1,47.7,47.6,-41.451,-61.379,-44.214,-40.772,0.43,4.16,0.9375084815,19.927999999999997,-3.442,0.6753287064847702,1.0844207074566052,1832.714514,1.7888
